Library,Commit,Parent Module,API,Advisory Link,Anomaly,Anomaly description,Category,Reproducing Example,Vulnerable Parameter,Root cause 1,Root cause 2
Tensorflow,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops,tf.raw_ops.QuantizedBiasAdd,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-4pc4-m9mj-v2r9,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"min_input = tf.constant([], shape=[0], dtype=tf.float32)
max_input = tf.constant(0, shape=[1], dtype=tf.float32)
min_bias = tf.constant(0, shape=[1], dtype=tf.float32)
max_bias = tf.constant(0, shape=[1], dtype=tf.float32)","min_input, max_input, min_bias, max_bias",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops,tf.raw_ops.Requantize,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-wqmc-pm8c-2jhc,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"input_min = tf.constant([], shape=[0], dtype=tf.float32)
input_max = tf.constant(-256, shape=[1], dtype=tf.float32)
requested_output_min = tf.constant(-256, shape=[1], dtype=tf.float32)
requested_output_max = tf.constant(-256, shape=[1], dtype=tf.float32)","input_min, input_max, requested_output_min, requested_output_max",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops,tf.raw_ops.FakeQuantWithMinMaxVars,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9fpg-838v-wpv7,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"min = tf.constant(0, shape=[2,3], dtype=tf.float32)
max = tf.constant(0, shape=[2,3], dtype=tf.float32)","min, max",N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops,tf.raw_ops.QuantizedInstanceNorm,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-g35r-369w-3fqp,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"x_min = tf.constant([], shape=[0], dtype=tf.float32)
x_max = tf.constant(0, shape=[], dtype=tf.float32)","x_min, x_max",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/50156d547b9a1da0144d7babe665cf690305b33c,tf.raw_ops,tf.raw_ops.Conv2DBackpropInput,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q2c3-jpmc-gfjx,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"input_sizes = tf.constant([65534,65534], shape=[2], dtype=tf.int32)",input_sizes,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/3a6ac52664c6c095aa2b114e742b0aa17fdce78f,tf.raw_ops,tf.raw_ops.AvgPoolGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2475-53vw-vp25,Negative input tensor,"A negative input tensor refers to a tensor that contains negative values. In other words, the elements of the tensor have a value less than zero.",Tensor,"orig_input_shape = tf.constant(-536870912, shape=[4], dtype=tf.int32)",orig_input_shape,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/49b3824d83af706df0ad07e4e677d88659756d89,tf.raw_ops,tf.raw_ops.QuantizedAdd,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v6h3-348g-6h5x,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"min_x = tf.constant([], shape=[0], dtype=tf.float32)
max_x = tf.constant(0, shape=[], dtype=tf.float32)
min_y = tf.constant(0, shape=[], dtype=tf.float32)
max_y = tf.constant(0, shape=[], dtype=tf.float32)","min_input, max_input",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/7cdf9d4d2083b739ec81cfdace546b0c99f50622,tf.raw_ops,tf.raw_ops.QuantizedAvgPool,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-4w68-4x85-mjj9,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"min_input = tf.constant([], shape=[0], dtype=tf.float32)
max_input = tf.constant(0, shape=[1], dtype=tf.float32","min_input, max_input",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bce3717eaef4f769019fd18e990464ca4a2efeea,tf.raw_ops,tf.raw_ops.LowerBound,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-qxpx-j395-pw36,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"sorted_inputs = tf.constant([], shape=[10,0], dtype=tf.float32)",sorted_inputs,nullptr dereference,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bce3717eaef4f769019fd18e990464ca4a2efeea,tf.raw_ops,tf.raw_ops.UpperBound,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-qxpx-j395-pw36,Empty input tensor,An empty input tensor refers to a tensor that has no elements or has a size of zero along one or more dimensions. It represents a tensor with no data or empty content.,Tensor,"sorted_inputs = tf.constant([], shape=[2,2,0,0,0,0,0,2], dtype=tf.float32)",sorted_inputs,nullptr dereference,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/2a458fc4866505be27c62f81474ecb2b870498fa,tf.raw_ops,tf.raw_ops.BlockLSTMGradV2,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-f7r5-q7cx-h668,Dimension mismatch,"Tensor shape mismatch: If the shapes of the input tensors are not compatible for a given operation, such as matrix multiplication, concatenation, or element-wise operations. For example, attempting to multiply two tensors with incompatible shapes like (3, 4) and (5, 6) will result in a dimension mismatch error.

Inconsistent dimensions in additional arguments: Some APIs require additional arguments like dimensions or indices to specify the dimensions or specific elements of the tensors to operate on. If these dimensions or indices are not valid or do not align with the input tensors' shapes, a dimension mismatch can occur.",Tensor,"wci = tf.constant(0.504355371, shape=[1,1,1], dtype=tf.float32)
wcf = tf.constant(0.504355371, shape=[1,1,1], dtype=tf.float32)
wco = tf.constant(0.504355371, shape=[1,1,1], dtype=tf.float32)
b = tf.constant(0.504355371, shape=[1,1,1], dtype=tf.float32)","wci, wcf, wco, b",N.A,segfault
Tensorflow,https://github.com/tensorflow/tensorflow/commit/03a659d7be9a1154fdf5eeac221e5950fec07dad,tf.raw_ops,tf.raw_ops.FractionalAvgPoolGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-84jm-4cf3-9jfm,Negative input tensor,"A negative input tensor refers to a tensor that contains negative values. In other words, the elements of the tensor have a value less than zero.",Tensor,"orig_input_tensor_shape = tf.constant(-1879048192, shape=[4], dtype=tf.int64)",orig_input_tensor_shape,overflow,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/03a659d7be9a1154fdf5eeac221e5950fec07dad,tf.raw_ops,tf.raw_ops.FractionalAvgPoolGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-84jm-4cf3-9jfm,Tensor Rank Confusion,Tensor Rank Confusion,Tensor,"out_backprop = tf.constant([], shape=[0,0,0,0], dtype=tf.float64)",out_backprop,overflow,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/9178ac9d6389bdc54638ab913ea0e419234d14eb,tf.raw_ops,tf.raw_ops.AvgPool3DGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-wxjj-cgcx-r3vq,Large input tensor,A large tensor refers to a tensor that has a large number of elements or values or occupies a significant amount of memory.,Tensor,"orig_input_shape = tf.constant(1879048192, shape=[5], dtype=tf.int32)",orig_input_shape,overflow,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/5f945fc6409a3c1e90d6970c9292f805f6e6ddf2,tf.raw_ops,tf.raw_ops.UnbatchGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h5vq-gw2c-pq47,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"id=tf.constant([1,], dtype=tf.int64)",id,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/3a6ac52664c6c095aa2b114e742b0aa17fdce78f,tf.raw_ops,tf.raw_ops.AvgPool,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-mgmh-g2v6-mqw5,Negative integer list element,A negative integer list element in Python refers to an element within a list that has a negative integer value. It means that the element is a negative number represented by an integer data type.,List,"ksize = [1, 1e20, 1, 1]",ksize,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/37cefa91bee4eace55715eeef43720b958a01192,tf.raw_ops,tf.raw_ops.RaggedRange,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-x989-q2pq-4q5x,Large integer list element,A large integer list element in Python refers to an element within a list that has a large integer value. It means that the element is an integer with a value that exceeds the typical range of integer values.,List,"limits=[10.0,1e20]",limits,N.A,InvalidArgument
Tensorflow,https://github.com/tensorflow/tensorflow/commit/b5f6fbfba76576202b72119897561e3bd4f179c7,tf.raw_ops,tf.raw_ops.TensorListReserve,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v5xg-3q2c-c2r4,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"num_elements=tf.constant([1,1], dtype=tf.int32)",num_elements,N.A,check failure
Tensorflow,https://github.com/tensorflow/tensorflow/commit/c65c67f88ad770662e8f191269a907bf2b94b1bf,tf.raw_ops,tf.raw_ops.SobolSample,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-97p7-w86h-vcf9,Non scalar input tensor,A non-scalar input tensor refers to a tensor that has more than one element or value. It represents a multi-dimensional array or a collection of values organized in a specific shape.,Tensor,"dim=tf.constant([1,0]), num_results=tf.constant([1]), skip=tf.constant([1])","dim, num_results, skip",N.A,check failure
